dataSetIndex,algo_index,query_nums,single_time,accumulated_time
0,5,44,22,2012
0,5,45,15,2027
0,5,46,31,2058
0,5,47,21,2079
0,5,48,16,2095
0,5,49,15,2110
0,5,50,27,2137
0,5,51,30,2167
0,5,52,30,2197
0,5,53,27,2224
0,5,54,33,2257
0,5,55,31,2288
0,5,56,33,2321
0,5,57,33,2354
0,5,58,22,2376
0,5,59,16,2392
0,5,60,17,2409
0,5,61,21,2430
0,5,62,12,2442
0,5,63,36,2478
0,5,64,23,2501
0,5,65,23,2524
0,5,66,25,2549
0,5,67,29,2578
0,5,68,21,2599
0,5,69,22,2621
0,5,70,21,2642
0,5,71,21,2663
0,5,72,21,2684
0,5,73,25,2709
0,5,74,45,2754
0,5,75,6,2760
0,5,76,36,2796
0,5,77,17,2813
0,5,78,25,2838
0,5,79,22,2860
0,5,80,22,2882
0,5,81,21,2903
0,5,82,17,2920
0,5,83,17,2937
0,5,84,13,2950
0,5,85,13,2963
0,5,86,12,2975
0,5,87,31,3006
0,5,88,39,3045
0,5,89,33,3078
0,5,90,24,3102
0,5,91,26,3128
0,5,92,10,3138
0,5,93,29,3167
0,5,94,17,3184
0,5,95,45,3229
0,5,96,24,3253
0,5,97,24,3277
0,5,98,22,3299
0,5,99,17,3316
0,5,100,18,3334
0,5,101,33,3367
0,5,102,25,3392
0,5,103,37,3429
0,5,104,15,3444
0,5,105,24,3468
0,5,106,24,3492
0,5,107,24,3516
0,5,108,24,3540
0,5,109,15,3555
0,5,110,30,3585
0,5,111,12,3597
0,5,112,10,3607
0,5,113,31,3638
0,5,114,20,3658
0,5,115,44,3702
0,5,116,45,3747
0,5,117,43,3790
0,5,118,44,3834
0,5,119,26,3860
0,5,120,21,3881
0,5,121,12,3893
0,5,122,15,3908
0,5,123,21,3929
0,5,124,30,3959
0,5,125,15,3974
0,5,126,21,3995
0,5,127,23,4018
0,5,128,41,4059
0,5,129,44,4103
0,5,130,22,4125
0,5,131,10,4135
0,5,132,11,4146
0,5,133,45,4191
0,5,134,19,4210
0,5,135,34,4244
0,5,136,30,4274
0,5,137,30,4304
0,5,138,31,4335
0,5,139,31,4366
0,5,140,33,4399
0,5,141,20,4419
0,5,142,38,4457
0,5,143,15,4472
0,5,144,28,4500
0,5,145,33,4533
0,5,146,27,4560
0,5,147,36,4596
0,5,148,34,4630
0,5,149,30,4660
0,5,150,17,4677
0,5,151,35,4712
0,5,152,28,4740
0,5,153,33,4773
0,5,154,33,4806
0,5,155,47,4853
0,5,156,46,4899
0,5,157,34,4933
0,5,158,30,4963
0,5,159,44,5007
0,5,160,37,5044
0,5,161,33,5077
0,5,162,34,5111
0,5,163,26,5137
0,5,164,31,5168
0,5,165,33,5201
0,5,166,47,5248
0,5,167,30,5278
0,5,168,39,5317
0,5,169,33,5350
0,5,170,44,5394
0,5,171,44,5438
0,5,172,16,5454
0,5,173,30,5484
0,5,174,31,5515
0,5,175,33,5548
0,5,176,32,5580
0,5,177,24,5604
0,5,178,33,5637
0,5,179,33,5670
0,5,180,32,5702
0,5,181,31,5733
0,5,182,31,5764
0,5,183,33,5797
0,5,184,44,5841
0,5,185,41,5882
0,5,186,35,5917
0,5,187,36,5953
0,5,188,37,5990
0,5,189,36,6026
0,5,190,36,6062
0,5,191,36,6098
0,5,192,34,6132
0,5,193,26,6158
0,5,194,17,6175
0,5,195,17,6192
0,5,196,45,6237
0,5,197,44,6281
0,5,198,29,6310
0,5,199,13,6323
0,5,200,18,6341
0,6,1,109,109
0,6,2,102,211
0,6,3,102,313
0,6,4,98,411
0,6,5,98,509
0,6,6,98,607
0,6,7,99,706
0,6,8,100,806
0,6,9,101,907
0,6,10,99,1006
0,6,11,99,1105
0,6,12,103,1208
0,6,13,101,1309
0,6,14,100,1409
0,6,15,99,1508
0,6,16,99,1607
0,6,17,98,1705
0,6,18,99,1804
0,6,19,98,1902
0,6,20,98,2000
0,6,21,97,2097
0,6,22,98,2195
0,6,23,98,2293
0,6,24,101,2394
0,6,25,98,2492
0,6,26,99,2591
0,6,27,99,2690
0,6,28,101,2791
0,6,29,100,2891
0,6,30,97,2988
0,6,31,97,3085
0,6,32,98,3183
0,6,33,97,3280
0,6,34,99,3379
0,6,35,98,3477
0,6,36,99,3576
0,6,37,99,3675
0,6,38,98,3773
0,6,39,99,3872
0,6,40,98,3970
0,6,41,99,4069
0,6,42,98,4167
0,6,43,98,4265
0,6,44,98,4363
0,6,45,98,4461
0,6,46,98,4559
0,6,47,98,4657
0,6,48,99,4756
0,6,49,98,4854
0,6,50,99,4953
0,6,51,100,5053
0,6,52,99,5152
0,6,53,99,5251
0,6,54,99,5350
0,6,55,98,5448
0,6,56,98,5546
0,6,57,98,5644
0,6,58,97,5741
0,6,59,99,5840
0,6,60,98,5938
0,6,61,99,6037
0,6,62,99,6136
0,6,63,100,6236
0,6,64,98,6334
0,6,65,99,6433
0,6,66,96,6529
0,6,67,97,6626
0,6,68,98,6724
0,6,69,98,6822
0,6,70,98,6920
0,6,71,99,7019
0,6,72,98,7117
0,6,73,101,7218
0,6,74,99,7317
0,6,75,101,7418
0,6,76,98,7516
0,6,77,97,7613
0,6,78,98,7711
0,6,79,99,7810
0,6,80,99,7909
0,6,81,98,8007
0,6,82,99,8106
0,6,83,98,8204
0,6,84,98,8302
0,6,85,98,8400
0,6,86,98,8498
0,6,87,98,8596
0,6,88,99,8695
0,6,89,100,8795
0,6,90,98,8893
0,6,91,99,8992
0,6,92,98,9090
0,6,93,98,9188
0,6,94,98,9286
0,6,95,99,9385
0,6,96,99,9484
0,6,97,100,9584
0,6,98,100,9684
0,6,99,98,9782
0,6,100,98,9880
0,6,101,102,9982
0,6,102,98,10080
0,6,103,98,10178
0,6,104,97,10275
0,6,105,97,10372
0,6,106,97,10469
0,6,107,99,10568
0,6,108,98,10666
0,6,109,98,10764
0,6,110,98,10862
0,6,111,99,10961
0,6,112,97,11058
0,6,113,99,11157
0,6,114,99,11256
0,6,115,99,11355
0,6,116,99,11454
0,6,117,97,11551
0,6,118,101,11652
0,6,119,97,11749
0,6,120,97,11846
0,6,121,98,11944
0,6,122,98,12042
0,6,123,99,12141
0,6,124,99,12240
0,6,125,97,12337
0,6,126,98,12435
0,6,127,97,12532
0,6,128,98,12630
0,6,129,98,12728
0,6,130,99,12827
0,6,131,97,12924
0,6,132,98,13022
0,6,133,98,13120
0,6,134,97,13217
0,6,135,98,13315
0,6,136,99,13414
0,6,137,98,13512
0,6,138,99,13611
0,6,139,98,13709
0,6,140,99,13808
0,6,141,98,13906
0,6,142,99,14005
0,6,143,99,14104
0,6,144,98,14202
0,6,145,98,14300
0,6,146,101,14401
0,6,147,100,14501
0,6,148,100,14601
0,6,149,100,14701
0,6,150,99,14800
0,6,151,100,14900
0,6,152,111,15011
0,6,153,99,15110
0,6,154,100,15210
0,6,155,98,15308
0,6,156,106,15414
0,6,157,107,15521
0,6,158,98,15619
0,6,159,98,15717
0,6,160,98,15815
0,6,161,99,15914
0,6,162,100,16014
0,6,163,99,16113
0,6,164,99,16212
0,6,165,98,16310
0,6,166,98,16408
0,6,167,99,16507
0,6,168,98,16605
0,6,169,99,16704
0,6,170,98,16802
0,6,171,98,16900
0,6,172,98,16998
0,6,173,102,17100
0,6,174,101,17201
0,6,175,99,17300
0,6,176,99,17399
0,6,177,100,17499
0,6,178,100,17599
0,6,179,98,17697
0,6,180,98,17795
0,6,181,99,17894
0,6,182,98,17992
0,6,183,100,18092
0,6,184,101,18193
0,6,185,100,18293
0,6,186,102,18395
0,6,187,103,18498
0,6,188,104,18602
0,6,189,104,18706
0,6,190,102,18808
0,6,191,100,18908
0,6,192,99,19007
0,6,193,105,19112
0,6,194,100,19212
0,6,195,103,19315
0,6,196,100,19415
0,6,197,99,19514
0,6,198,98,19612
0,6,199,98,19710
0,6,200,98,19808
0,7,1,105,105
0,7,2,87,192
0,7,3,84,276
0,7,4,88,364
0,7,5,89,453
0,7,6,71,524
0,7,7,80,604
0,7,8,79,683
0,7,9,78,761
0,7,10,73,834
0,7,11,76,910
0,7,12,65,975
0,7,13,67,1042
0,7,14,66,1108
0,7,15,65,1173
0,7,16,73,1246
0,7,17,79,1325
0,7,18,66,1391
0,7,19,64,1455
0,7,20,67,1522
0,7,21,57,1579
0,7,22,54,1633
0,7,23,54,1687
0,7,24,62,1749
0,7,25,53,1802
0,7,26,62,1864
0,7,27,61,1925
0,7,28,62,1987
0,7,29,61,2048
0,7,30,44,2092
0,7,31,44,2136
0,7,32,41,2177
0,7,33,43,2220
0,7,34,41,2261
0,7,35,42,2303
0,7,36,56,2359
0,7,37,54,2413
0,7,38,41,2454
0,7,39,49,2503
0,7,40,53,2556
0,7,41,54,2610
0,7,42,54,2664
0,7,43,52,2716
0,7,44,40,2756
0,7,45,36,2792
0,7,46,53,2845
0,7,47,43,2888
0,7,48,40,2928
